cell,row,col,category,pct_ccr
0,0,0,Level 4 or 5,34.6
1,0,1,Level 4 or 5,34.6
2,0,2,Level 4 or 5,34.6
3,0,3,Level 4 or 5,34.6
4,0,4,Level 4 or 5,34.6
5,0,5,Level 4 or 5,34.6
6,0,6,Level 4 or 5,34.6
7,0,7,Level 4 or 5,34.6
8,0,8,Level 4 or 5,34.6
9,0,9,Level 4 or 5,34.6
10,1,0,Level 4 or 5,34.6
11,1,1,Level 4 or 5,34.6
12,1,2,Level 4 or 5,34.6
13,1,3,Level 4 or 5,34.6
14,1,4,Level 4 or 5,34.6
15,1,5,Level 4 or 5,34.6
16,1,6,Level 4 or 5,34.6
17,1,7,Level 4 or 5,34.6
18,1,8,Level 4 or 5,34.6
19,1,9,Level 4 or 5,34.6
20,2,0,Level 4 or 5,34.6
21,2,1,Level 4 or 5,34.6
22,2,2,Level 4 or 5,34.6
23,2,3,Level 4 or 5,34.6
24,2,4,Level 4 or 5,34.6
25,2,5,Level 4 or 5,34.6
26,2,6,Level 4 or 5,34.6
27,2,7,Level 4 or 5,34.6
28,2,8,Level 4 or 5,34.6
29,2,9,Level 4 or 5,34.6
30,3,0,Level 4 or 5,34.6
31,3,1,Level 4 or 5,34.6
32,3,2,Level 4 or 5,34.6
33,3,3,Level 4 or 5,34.6
34,3,4,Level 4 or 5,34.6
35,3,5,Levels 1-3,34.6
36,3,6,Levels 1-3,34.6
37,3,7,Levels 1-3,34.6
38,3,8,Levels 1-3,34.6
39,3,9,Levels 1-3,34.6
40,4,0,Levels 1-3,34.6
41,4,1,Levels 1-3,34.6
42,4,2,Levels 1-3,34.6
43,4,3,Levels 1-3,34.6
44,4,4,Levels 1-3,34.6
45,4,5,Levels 1-3,34.6
46,4,6,Levels 1-3,34.6
47,4,7,Levels 1-3,34.6
48,4,8,Levels 1-3,34.6
49,4,9,Levels 1-3,34.6
50,5,0,Levels 1-3,34.6
51,5,1,Levels 1-3,34.6
52,5,2,Levels 1-3,34.6
53,5,3,Levels 1-3,34.6
54,5,4,Levels 1-3,34.6
55,5,5,Levels 1-3,34.6
56,5,6,Levels 1-3,34.6
57,5,7,Levels 1-3,34.6
58,5,8,Levels 1-3,34.6
59,5,9,Levels 1-3,34.6
60,6,0,Levels 1-3,34.6
61,6,1,Levels 1-3,34.6
62,6,2,Levels 1-3,34.6
63,6,3,Levels 1-3,34.6
64,6,4,Levels 1-3,34.6
65,6,5,Levels 1-3,34.6
66,6,6,Levels 1-3,34.6
67,6,7,Levels 1-3,34.6
68,6,8,Levels 1-3,34.6
69,6,9,Levels 1-3,34.6
70,7,0,Levels 1-3,34.6
71,7,1,Levels 1-3,34.6
72,7,2,Levels 1-3,34.6
73,7,3,Levels 1-3,34.6
74,7,4,Levels 1-3,34.6
75,7,5,Levels 1-3,34.6
76,7,6,Levels 1-3,34.6
77,7,7,Levels 1-3,34.6
78,7,8,Levels 1-3,34.6
79,7,9,Levels 1-3,34.6
80,8,0,Levels 1-3,34.6
81,8,1,Levels 1-3,34.6
82,8,2,Levels 1-3,34.6
83,8,3,Levels 1-3,34.6
84,8,4,Levels 1-3,34.6
85,8,5,Levels 1-3,34.6
86,8,6,Levels 1-3,34.6
87,8,7,Levels 1-3,34.6
88,8,8,Levels 1-3,34.6
89,8,9,Levels 1-3,34.6
90,9,0,Levels 1-3,34.6
91,9,1,Levels 1-3,34.6
92,9,2,Levels 1-3,34.6
93,9,3,Levels 1-3,34.6
94,9,4,Levels 1-3,34.6
95,9,5,Levels 1-3,34.6
96,9,6,Levels 1-3,34.6
97,9,7,Levels 1-3,34.6
98,9,8,Levels 1-3,34.6
99,9,9,Levels 1-3,34.6
