lea,lea_name_short,lea_name,county,region,region_num
10,Alamance,Alamance-Burlington Schools,Alamance,Piedmont Triad,5
20,Alexander,Alexander County Schools,Alexander,Northwest,7
30,Alleghany,Alleghany County Schools,Alleghany,Northwest,7
40,Anson,Anson County Schools,Anson,Southwest,6
50,Ashe,Ashe County Schools,Ashe,Northwest,7
60,Avery,Avery County Schools,Avery,Northwest,7
70,Beaufort,Beaufort County Schools,Beaufort,Northeast,1
80,Bertie,Bertie County Schools,Bertie,Northeast,1
90,Bladen,Bladen County Schools,Bladen,Sandhills,4
100,Brunswick,Brunswick County Schools,Brunswick,Southeast,2
110,Buncombe,Buncombe County Schools,Buncombe,Western,8
111,Asheville City,Asheville City Schools,Buncombe,Western,8
120,Burke,Burke County Schools,Burke,Northwest,7
130,Cabarrus,Cabarrus County Schools,Cabarrus,Southwest,6
132,Kannapolis City,Kannapolis City Schools,Cabarrus,Southwest,6
140,Caldwell,Caldwell County Schools,Caldwell,Northwest,7
150,Camden,Camden County Schools,Camden,Northeast,1
160,Carteret,Carteret County Public Schools,Carteret,Southeast,2
170,Caswell,Caswell County Schools,Caswell,Piedmont Triad,5
180,Catawba,Catawba County Schools,Catawba,Northwest,7
181,Hickory City,Hickory City Schools,Catawba,Northwest,7
182,Newton-Conover City,Newton Conover City Schools,Catawba,Northwest,7
190,Chatham,Chatham County Schools,Chatham,North Central,3
200,Cherokee,Cherokee County Schools,Cherokee,Western,8
210,Chowan,Edenton-Chowan Schools,Chowan,Northeast,1
220,Clay,Clay County Schools,Clay,Western,8
230,Cleveland,Cleveland County Schools,Cleveland,Southwest,6
240,Columbus,Columbus County Schools,Columbus,Sandhills,4
241,Whiteville City,Whiteville City Schools,Columbus,Sandhills,4
250,Craven,Craven County Schools,Craven,Southeast,2
260,Cumberland,Cumberland County Schools,Cumberland,Sandhills,4
270,Currituck,Currituck County Schools,Currituck,Northeast,1
280,Dare,Dare County Schools,Dare,Northeast,1
290,Davidson,Davidson County Schools,Davidson,Piedmont Triad,5
291,Lexington City,Lexington City Schools,Davidson,Piedmont Triad,5
292,Thomasville City,Thomasville City Schools,Davidson,Piedmont Triad,5
300,Davie,Davie County Schools,Davie,Piedmont Triad,5
310,Duplin,Duplin County Schools,Duplin,Southeast,2
