school,region,pct_eds,spg_score,enrollment,spg_grade
Montlieu Academy of Technology,Piedmont Triad,69.8,47.0,486.0,D
Mount Gilead Elementary,Sandhills,89.4,52.0,190.0,D
Topsail Middle,Southeast,20.2,70.0,813.0,B
Northeast Guilford High,Piedmont Triad,60.3,50.0,922.0,D
Clear Creek Elementary,Western,68.9,60.0,479.0,C
Mars Hill Elementary,Western,54.7,64.0,496.0,C
GE Massey Elementary,Southwest,77.6,69.0,345.0,C
Langdon C Kerr Elementary,Sandhills,65.3,57.0,250.0,C
S Ray Lowder Elementary,Southwest,68.7,61.0,269.0,C
Hertford Grammar,Northeast,66.0,69.0,395.0,C
Coulwood STEM Academy,Southwest,59.3,64.0,611.0,C
Benhaven Elementary,North Central,46.7,68.0,973.0,C
Red Oak Elementary,North Central,57.9,59.0,226.0,C
Trinity Middle School,Piedmont Triad,62.7,47.0,524.0,D
Fike High,North Central,59.6,61.0,1014.0,C
Waynesville Middle,Western,60.8,56.0,720.0,C
Jeffreys Grove Elementary,North Central,24.3,86.0,486.0,A
Denton Elementary,Piedmont Triad,66.8,57.0,384.0,C
Irving Park Elementary,Piedmont Triad,59.6,57.0,520.0,C
Johnston Co Early College Academy,North Central,29.6,95.0,274.0,A
Blythe Elementary,Southwest,61.1,55.0,882.0,C
Wilson Academy of Applied Technology,North Central,58.8,87.0,194.0,A
Forbush Middle,Piedmont Triad,59.0,59.0,624.0,C
Salem Elementary,North Central,23.4,74.0,723.0,B
Wallburg Elementary,Piedmont Triad,43.1,77.0,752.0,B
Heide Trask High,Southeast,70.5,60.0,701.0,C
Glenn Elementary,North Central,55.6,57.0,578.0,C
Albemarle Middle,Southwest,67.6,33.0,411.0,F
Heritage Elementary,North Central,29.2,76.0,622.0,B
North Kannapolis Elementary,Southwest,63.9,57.0,263.0,C
Startown Elementary,Northwest,57.0,64.0,511.0,C
Jordan Matthews High,North Central,77.8,55.0,886.0,C
Snow Hill Primary,Southeast,73.6,49.0,377.0,D
Western Guilford Middle,Piedmont Triad,64.1,46.0,741.0,D
Southern Lee High School,North Central,62.3,56.0,1175.0,C
Moore Square Middle,North Central,23.7,76.0,591.0,B
Providence Grove High School,Piedmont Triad,51.1,65.0,636.0,C
The Virtual Academy at Randolph,Piedmont Triad,6.3,43.0,95.0,D
West Forsyth High,Piedmont Triad,37.0,79.0,2278.0,B
Coats-Erwin Middle,North Central,70.1,39.0,594.0,F
McGee's Crossroads Elem,North Central,54.7,68.0,886.0,C
CITI High School,North Central,75.9,73.0,107.0,B
Murrayville Elementary,Southeast,48.2,71.0,547.0,B
Bogue Sound Elementary,Southeast,38.5,72.0,460.0,B
A L Brown High,Southwest,52.1,51.0,1690.0,D
Bennett School,North Central,52.2,73.0,169.0,B
T Wingate Andrews High,Piedmont Triad,66.8,59.0,672.0,C
Wake Forest High School,North Central,25.9,78.0,2044.0,B
Hanes Magnet School,Piedmont Triad,61.5,62.0,909.0,C
Franklinton Middle,North Central,77.4,48.0,247.0,D
McDowell Virtual Academy,Northwest,30.2,41.0,131.0,D
Gov's Village STEM (Lower),Southwest,76.9,46.0,719.0,D
Snow Creek Elementary,Northwest,57.7,67.0,571.0,C
North Pitt High,Northeast,65.1,64.0,792.0,C
Richland Creek Elementary,North Central,38.6,69.0,499.0,C
Unionville Elementary,Southwest,34.6,75.0,637.0,B
Alamance Elementary,Piedmont Triad,41.4,68.0,500.0,C
Polk Central Elementary School,Western,52.9,74.0,315.0,B
Pine Hollow Middle,North Central,24.8,79.0,867.0,B
Wakefield High,North Central,34.4,76.0,1999.0,B
Mount Pleasant High,Southwest,39.4,66.0,877.0,C
Lucile Souders Elementary,Sandhills,77.2,45.0,393.0,D
Oak View Elementary,Piedmont Triad,75.8,40.0,501.0,D
Mattamuskeet School,Northeast,65.9,41.0,300.0,D
East Rowan High,Southwest,50.7,64.0,995.0,C
Baucom Elementary,North Central,25.9,82.0,505.0,B
Dillard Drive Middle,North Central,51.0,49.0,968.0,D
GW Carver Elementary,Southwest,73.6,45.0,529.0,D
Polk County Middle School,Western,56.3,68.0,476.0,C
Olds Elementary,North Central,36.1,68.0,271.0,C
Weatherstone Elementary,North Central,34.2,75.0,697.0,B
Weldon Middle,Northeast,76.1,40.0,182.0,D
Celeste Henkel Elementary,Southwest,68.1,59.0,511.0,C
Innovation Early College High,Northeast,48.6,95.0,209.0,A
Brentwood Elementary,North Central,70.8,50.0,368.0,D
Yadkin Valley Regional Career Academy,Piedmont Triad,46.4,72.0,155.0,B
Kearns Academy,Piedmont Triad,59.0,72.0,110.0,B
Riverbend Elementary,Western,51.6,91.0,182.0,A
River Road Middle,Northeast,59.9,53.0,459.0,D
Penderlea Elementary,Southeast,71.4,50.0,496.0,D
West Cabarrus High,Southwest,60.5,60.0,1769.0,C
Old Fort Elementary School,Northwest,73.4,71.0,288.0,B
Plain View Elementary,Sandhills,45.1,71.0,358.0,B
Thanksgiving Elementary,North Central,44.6,71.0,753.0,B
Banks Elementary,Southeast,61.8,55.0,444.0,C
Bain Elementary,Southwest,29.5,83.0,773.0,B
Durant Road Elementary,North Central,57.5,50.0,631.0,D
Royal Oaks Elementary,Southwest,57.9,65.0,592.0,C
Shuford Elementary,Northwest,57.5,66.0,416.0,C
Eastover-Central Elementary,Sandhills,43.6,70.0,382.0,B
Cuthbertson High,Southwest,8.5,90.0,1931.0,A
East Iredell Elementary,Southwest,75.8,42.0,673.0,D
Saint Pauls Middle,Sandhills,65.6,32.0,695.0,F
Harris Elementary School,Western,62.1,76.0,407.0,B
River Bend Elementary,North Central,69.1,56.0,670.0,C
Old Dock Elementary,Sandhills,62.2,73.0,262.0,B
Gates County Senior High,Northeast,51.8,68.0,457.0,C
West Oxford Elementary,North Central,87.4,37.0,406.0,F
Martins Creek Elementary/Mid,Western,45.5,69.0,164.0,C
Mangum Elementary,North Central,43.7,75.0,291.0,B
Lockhart Elementary,North Central,71.3,49.0,452.0,D
Cabarrus-Kannapolis Early Coll,Southwest,30.6,93.0,235.0,A
Cane Creek Middle,Western,35.4,74.0,449.0,B
West Columbus High,Sandhills,63.6,48.0,391.0,D
Havelock Elementary,Southeast,65.9,53.0,268.0,D
Rankin Elementary,Piedmont Triad,80.5,39.0,663.0,F
North Rowan Middle,Southwest,70.4,38.0,426.0,F
South View Middle,Sandhills,62.2,45.0,640.0,D
University Meadows Elementary,Southwest,59.6,36.0,661.0,F
Pilot Elementary,Piedmont Triad,69.6,56.0,356.0,C
Eastern Guilford Middle,Piedmont Triad,78.4,37.0,957.0,F
Granite Falls Middle,Northwest,53.2,66.0,527.0,C
Northview Middle ,Northwest,57.1,56.0,472.0,C
W A Pattillo Middle,North Central,78.1,30.0,303.0,F
Westarea Elementary,Sandhills,72.5,45.0,539.0,D
Parkland High,Piedmont Triad,66.4,46.0,1458.0,D
Fred A Anderson Elementary,Southeast,55.1,59.0,166.0,C
J Sam Gentry Middle,Piedmont Triad,61.8,61.0,362.0,C
Jack Britt High,Sandhills,38.4,84.0,1854.0,B
Knotts Island Elementary,Northeast,30.4,74.0,105.0,B
Edgecombe Early College High,North Central,48.9,88.0,188.0,A
Holly Grove Middle,North Central,16.9,79.0,939.0,B
Baton Elementary,Northwest,66.9,61.0,340.0,C
Hiwassee Dam High,Western,58.4,57.0,153.0,C
East Millbrook Middle,North Central,74.2,40.0,757.0,D
Cornatzer Elementary,Piedmont Triad,57.8,62.0,334.0,C
Albemarle High,Southwest,63.9,48.0,359.0,D
Holly Springs High,North Central,12.7,83.0,2092.0,B
North Wilkesboro Elementary School,Northwest,68.0,58.0,271.0,C
Montclair Elementary,Sandhills,67.5,54.0,398.0,D
Roanoke Rapids High School,Northeast,52.9,53.0,766.0,D
Cove Creek Elementary,Northwest,50.0,60.0,280.0,C
Hudson Elementary,Northwest,71.8,63.0,632.0,C
Fallston Elementary,Southwest,63.5,64.0,431.0,C
Valley Springs Middle,Western,55.1,67.0,638.0,C
Dillard Middle,Southeast,83.0,37.0,334.0,F
Wilkes Central High School,Northwest,56.9,62.0,728.0,C
Happy Valley Elementary,Northwest,73.5,48.0,213.0,D
Hunter Elementary,North Central,26.9,73.0,605.0,B
Windsor Park Elementary,Southwest,51.9,62.0,418.0,C
Orange High,North Central,41.0,64.0,1290.0,C
South Iredell High,Southwest,33.3,65.0,1676.0,C
Rockwell Elementary,Southwest,49.7,60.0,512.0,C
Chase High School,Western,44.3,72.0,637.0,B
Raleigh Road Elementary,Sandhills,38.2,75.0,213.0,B
Belmont Elementary School,Northeast,67.6,52.0,530.0,D
Kings Mountain Intermediate,Southwest,69.5,56.0,620.0,C
Shamrock Gardens Elementary,Southwest,34.7,60.0,457.0,C
Pamlico County Primary,Southeast,62.5,62.0,300.0,C
Southwood Elementary,Southeast,58.6,51.0,246.0,D
Helena Elementary,North Central,44.8,73.0,526.0,B
Kings Mountain High,Southwest,57.6,64.0,1199.0,C
Duplin Early College High,Southeast,47.2,79.0,202.0,B
Rose Hill-Magnolia Elementary,Southeast,59.2,33.0,1083.0,F
Jamesville Elementary,Northeast,52.6,62.0,193.0,C
Sun Valley Middle,Southwest,47.1,54.0,997.0,D
Southwest Middle,Southwest,66.6,48.0,812.0,D
North Stokes High School,Piedmont Triad,53.0,62.0,280.0,C
Burton Elementary,North Central,55.0,63.0,284.0,C
George L Carrington Middle,North Central,72.8,55.0,758.0,C
Sunshine Elementary School,Western,54.6,83.0,165.0,B
Hickory Ridge Middle,Southwest,17.0,86.0,935.0,A
Cash Elementary,Piedmont Triad,59.0,63.0,537.0,C
Shadybrook Elementary,Piedmont Triad,74.0,63.0,309.0,C
Scotts Elementary,Southwest,72.8,58.0,305.0,C
East Elementary,Southwest,84.8,63.0,194.0,C
Morganton Road Elementary,Sandhills,63.6,55.0,499.0,C
