school,region,pct_eds,spg_score,enrollment,spg_grade
North Carolina Cyber Academy,Virtual,16.3,51.0,2168.0,D
NC Virtual Academy,Virtual,28.0,48.0,2446.0,D
ABSS Early College at ACC,Piedmont Triad,43.8,96.0,228.0,A
Alexander Wilson Elementary,Piedmont Triad,33.9,59.0,559.0,C
Altamahaw-Ossipee Elementary,Piedmont Triad,45.6,57.0,628.0,C
Broadview Middle,Piedmont Triad,55.3,37.0,764.0,F
Highland Elementary,Piedmont Triad,26.4,58.0,616.0,C
E M Yoder Elementary,Piedmont Triad,44.6,63.0,356.0,C
Eastern Alamance High,Piedmont Triad,25.0,65.0,1111.0,C
Eastlawn Elementary,Piedmont Triad,60.5,37.0,574.0,F
Edwin M Holt Elementary,Piedmont Triad,25.9,61.0,523.0,C
Elon Elementary,Piedmont Triad,32.5,56.0,693.0,C
B. Everett Jordan Elementary,Piedmont Triad,55.9,43.0,369.0,D
Audrey W. Garrett Elementary,Piedmont Triad,59.2,65.0,597.0,C
Graham High,Piedmont Triad,44.1,49.0,757.0,D
Graham Middle,Piedmont Triad,46.6,27.0,626.0,F
Grove Park Elementary,Piedmont Triad,59.3,41.0,379.0,D
Hawfields Middle,Piedmont Triad,33.8,71.0,685.0,B
Harvey R Newlin Elementary,Piedmont Triad,76.6,35.0,481.0,F
Haw River Elementary,Piedmont Triad,50.3,38.0,422.0,F
Hillcrest Elementary,Piedmont Triad,56.7,41.0,557.0,D
Hugh M Cummings High,Piedmont Triad,76.2,45.0,944.0,D
Marvin B Smith Elementary,Piedmont Triad,28.5,72.0,441.0,B
North Graham Elementary,Piedmont Triad,57.2,28.0,341.0,F
Pleasant Grove Elementary,Piedmont Triad,46.9,37.0,287.0,F
R Homer Andrews Elementary,Piedmont Triad,45.5,41.0,489.0,D
South Graham Elementary,Piedmont Triad,73.8,47.0,450.0,D
South Mebane Elementary,Piedmont Triad,41.2,56.0,634.0,C
Southern Alamance High,Piedmont Triad,34.5,60.0,1427.0,C
Southern Alamance Middle,Piedmont Triad,37.0,43.0,737.0,D
Sylvan Elementary,Piedmont Triad,62.4,44.0,263.0,D
Turrentine Middle,Piedmont Triad,44.3,39.0,962.0,F
Walter M Williams High,Piedmont Triad,35.6,58.0,1169.0,C
Western Alamance High,Piedmont Triad,28.6,69.0,1145.0,C
Western Alamance Middle,Piedmont Triad,27.3,46.0,828.0,D
Woodlawn Middle,Piedmont Triad,32.5,43.0,581.0,D
Alamance Virtual School,Piedmont Triad,55.2,49.0,324.0,D
River Mill Academy,Piedmont Triad,11.6,74.0,828.0,B
Clover Garden,Piedmont Triad,11.9,58.0,641.0,C
The Hawbridge School,Piedmont Triad,15.7,72.0,513.0,B
Alamance Community School,Piedmont Triad,29.5,53.0,328.0,D
Alexander Central High,Northwest,33.4,64.0,1191.0,C
Alexander Early College,Northwest,27.5,85.0,195.0,A
Bethlehem Elementary,Northwest,40.8,69.0,407.0,C
East Alexander Middle,Northwest,63.2,58.0,556.0,C
Ellendale Elementary,Northwest,41.8,57.0,288.0,C
Hiddenite Elementary,Northwest,55.0,56.0,364.0,C
Stony Point Elementary,Northwest,60.3,60.0,246.0,C
Sugar Loaf Elementary,Northwest,57.0,54.0,205.0,D
Taylorsville Elementary,Northwest,72.4,56.0,228.0,C
West Alexander Middle,Northwest,36.5,73.0,545.0,B
Wittenburg Elementary,Northwest,68.1,58.0,272.0,C
Alleghany High,Northwest,51.9,71.0,433.0,B
Glade Creek Elementary,Northwest,56.0,51.0,220.0,D
Piney Creek Elementary,Northwest,48.4,67.0,165.0,C
Sparta Elementary,Northwest,69.2,45.0,558.0,D
Anson Co. Early College High,Southwest,41.4,79.0,227.0,B
Anson High School,Southwest,50.7,55.0,706.0,C
Ansonville Elementary,Southwest,56.4,57.0,161.0,C
Anson Middle,Southwest,56.9,37.0,721.0,F
Wadesboro Primary,Southwest,79.3,44.0,318.0,D
Lilesville Elementary,Southwest,65.3,55.0,243.0,C
Morven Elementary,Southwest,76.3,43.0,183.0,D
Peachland-Polkton Elem,Southwest,46.9,56.0,423.0,C
Wadesboro Elementary,Southwest,88.1,40.0,146.0,D
Ashe County High,Northwest,54.4,63.0,771.0,C
Ashe County Early College High,Northwest,35.3,86.0,117.0,A
Ashe County Middle,Northwest,62.4,69.0,438.0,C
Blue Ridge Elementary,Northwest,54.7,62.0,346.0,C
Mountain View Elementary,Northwest,55.5,63.0,499.0,C
Westwood Elementary,Northwest,51.9,68.0,506.0,C
Avery County High,Northwest,41.0,59.0,551.0,C
Banner Elk Elementary,Northwest,46.6,80.0,156.0,B
Cranberry Middle,Northwest,48.8,63.0,171.0,C
Crossnore Elementary,Northwest,53.2,62.0,180.0,C
Avery Middle,Northwest,60.1,38.0,276.0,F
Freedom Trail Elementary,Northwest,67.1,67.0,190.0,C
Newland Elementary,Northwest,73.0,52.0,222.0,D
Riverside Elementary,Northwest,56.7,51.0,87.0,D
Marjorie Williams Academy,Northwest,66.4,53.0,110.0,D
Eastern Elementary,Northeast,65.7,54.0,379.0,D
Bath Elementary,Northeast,23.4,76.0,528.0,B
Beaufort Co Early College High,Northeast,55.0,91.0,257.0,A
Chocowinity Middle,Northeast,65.1,60.0,409.0,C
Chocowinity Primary,Northeast,66.6,86.0,499.0,A
John C Tayloe Elementary,Northeast,52.6,54.0,504.0,D
John Small Elementary,Northeast,57.6,47.0,510.0,D
Northeast Elementary,Northeast,45.7,61.0,351.0,C
Northside High,Northeast,28.2,68.0,361.0,C
P S Jones Middle,Northeast,49.1,48.0,732.0,D
Southside High,Northeast,56.1,61.0,413.0,C
S W Snowden Elementary,Northeast,84.4,55.0,161.0,C
Washington High,Northeast,44.4,62.0,802.0,C
Washington Montessori,Northeast,31.6,64.0,400.0,C
Bertie Early College High,Northeast,31.4,91.0,175.0,A
Bertie High,Northeast,56.5,60.0,423.0,C
Bertie Middle,Northeast,58.6,53.0,444.0,D
West Bertie Elementary,Northeast,69.0,52.0,229.0,D
Colerain Elementary,Northeast,66.0,54.0,136.0,D
Windsor Elementary,Northeast,73.5,57.0,299.0,C
Bladenboro Middle,Sandhills,50.7,44.0,264.0,D
Bladenboro Primary,Sandhills,83.9,50.0,360.0,D
Bladen Lakes Primary,Sandhills,52.9,50.0,133.0,D
Clarkton School of Discovery,Sandhills,64.7,57.0,209.0,C
Dublin Primary,Sandhills,64.2,52.0,183.0,D
East Arcadia Elementary,Sandhills,71.0,38.0,62.0,F
East Bladen High,Sandhills,41.4,51.0,555.0,D
Elizabethtown Middle,Sandhills,63.1,40.0,400.0,D
Elizabethtown Primary,Sandhills,83.2,44.0,463.0,D
Tar Heel School,Sandhills,64.3,42.0,288.0,D
West Bladen High,Sandhills,51.5,58.0,687.0,C
Bladen Early College,Sandhills,42.5,73.0,127.0,B
Paul R. Brown Leadership Academy,Sandhills,94.9,69.0,143.0,C
Emereau Bladen,Sandhills,40.0,59.0,470.0,C
Belville Elementary,Southeast,42.6,63.0,722.0,C
Bolivia Elementary,Southeast,57.6,52.0,497.0,D
Brunswick County Early College,Southeast,37.8,90.0,348.0,A
Cedar Grove Middle,Southeast,62.2,50.0,442.0,D
Jessie Mae Monroe Elementary,Southeast,61.6,62.0,395.0,C
Leland Middle,Southeast,50.1,47.0,780.0,D
Lincoln Elementary,Southeast,60.9,52.0,678.0,D
North Brunswick High,Southeast,41.3,63.0,1402.0,C
Shallotte Middle,Southeast,58.5,60.0,670.0,C
South Brunswick High,Southeast,40.1,63.0,1124.0,C
South Brunswick Middle,Southeast,38.6,61.0,576.0,C
Southport Elementary,Southeast,49.4,63.0,407.0,C
Supply Elementary,Southeast,72.8,49.0,544.0,D
Town Creek Elementary,Southeast,43.2,74.0,654.0,B
Union Elementary,Southeast,50.4,76.0,577.0,B
Town Creek Middle,Southeast,41.9,59.0,496.0,C
Virginia Williamson Elem,Southeast,61.1,59.0,511.0,C
Waccamaw,Southeast,64.4,68.0,431.0,C
West Brunswick High,Southeast,53.9,62.0,1455.0,C
Classical Charter Schools of Leland,Southeast,15.5,70.0,993.0,B
Classical Charter Schools of Southport,Southeast,9.7,77.0,391.0,B
Reynolds High,Western,44.5,75.0,1097.0,B
Reynolds Middle,Western,60.5,55.0,478.0,C
Barnardsville Elementary,Western,56.9,76.0,106.0,B
Black Mountain Elementary,Western,53.4,59.0,147.0,C
Black Mountain Primary,Western,57.8,57.0,325.0,C
Early College,Western,61.3,87.0,263.0,A
Center for Career Innovation,Western,31.6,96.0,43.0,A
Candler Elementary,Western,72.6,67.0,359.0,C
Cane Creek Middle,Western,35.4,75.0,449.0,B
Bell Elementary,Western,54.4,68.0,214.0,C
Owen High,Western,50.1,70.0,675.0,B
Owen Middle,Western,62.8,47.0,415.0,D
Erwin High,Western,66.3,55.0,1050.0,C
Erwin Middle,Western,76.6,41.0,554.0,D
Emma Elementary,Western,62.9,50.0,281.0,D
Enka High,Western,58.9,66.0,991.0,C
Fairview Elementary,Western,42.4,75.0,661.0,B
Glen Arden Elementary,Western,35.0,71.0,500.0,B
Haw Creek Elementary,Western,43.5,70.0,377.0,B
Hominy Valley Elementary,Western,51.0,65.0,440.0,C
Johnston Elementary,Western,70.0,41.0,199.0,D
Leicester Elementary,Western,70.5,60.0,375.0,C
North Buncombe Elementary,Western,53.6,70.0,568.0,B
North Buncombe High,Western,43.6,73.0,912.0,B
North Buncombe Middle,Western,45.6,67.0,502.0,C
North Windy Ridge Intermediate,Western,45.9,64.0,489.0,C
Oakley Elementary,Western,51.2,48.0,440.0,D
Pisgah Elementary,Western,67.5,64.0,167.0,C
Enka Middle,Western,65.1,45.0,606.0,D
Sand Hill-Venable Elem,Western,77.9,56.0,540.0,C
Avery's Creek Elementary,Western,68.4,58.0,548.0,C
Williams Elementary,Western,51.6,49.0,463.0,D
