region,year,grad_rate
Northwest,2019,88.1
Northwest,2020,89.1
Northwest,2021,87.8
Northwest,2022,86.3
Northwest,2023,87.1
Northwest,2024,87.7
Northwest,2025,89.1
Western,2019,88.0
Western,2020,89.6
Western,2021,89.6
Western,2022,89.9
Western,2023,90.0
Western,2024,90.7
Western,2025,91.6
Southwest,2019,86.5
Southwest,2020,87.2
Southwest,2021,86.0
Southwest,2022,85.5
Southwest,2023,85.1
Southwest,2024,85.9
Southwest,2025,86.9
Piedmont Triad,2019,87.1
Piedmont Triad,2020,87.8
Piedmont Triad,2021,88.0
Piedmont Triad,2022,87.8
Piedmont Triad,2023,87.9
Piedmont Triad,2024,88.2
Piedmont Triad,2025,88.9
North Central,2019,87.4
North Central,2020,88.4
North Central,2021,88.2
North Central,2022,87.3
North Central,2023,87.6
North Central,2024,88.1
North Central,2025,88.2
Sandhills,2019,84.3
Sandhills,2020,86.5
Sandhills,2021,85.5
Sandhills,2022,84.7
Sandhills,2023,85.4
Sandhills,2024,85.1
Sandhills,2025,86.1
Southeast,2019,86.9
Southeast,2020,87.2
Southeast,2021,87.1
Southeast,2022,86.0
Southeast,2023,85.9
Southeast,2024,86.1
Southeast,2025,86.9
Northeast,2019,83.6
Northeast,2020,87.1
Northeast,2021,84.6
Northeast,2022,83.2
Northeast,2023,83.8
Northeast,2024,84.6
Northeast,2025,87.3
