region,level,pct
Northwest,Level 1 or 2,45.0
Northwest,Level 3,22.0
Northwest,Level 4,24.3
Northwest,Level 5,8.7
Western,Level 1 or 2,44.1
Western,Level 3,21.0
Western,Level 4,24.8
Western,Level 5,10.1
Southwest,Level 1 or 2,42.7
Southwest,Level 3,19.9
Southwest,Level 4,24.7
Southwest,Level 5,12.6
Piedmont Triad,Level 1 or 2,49.2
Piedmont Triad,Level 3,20.0
Piedmont Triad,Level 4,21.6
Piedmont Triad,Level 5,9.1
North Central,Level 1 or 2,41.4
North Central,Level 3,19.7
North Central,Level 4,24.9
North Central,Level 5,13.9
Sandhills,Level 1 or 2,51.4
Sandhills,Level 3,21.1
Sandhills,Level 4,20.6
Sandhills,Level 5,6.9
Southeast,Level 1 or 2,46.0
Southeast,Level 3,21.6
Southeast,Level 4,23.4
Southeast,Level 5,9.0
Northeast,Level 1 or 2,47.7
Northeast,Level 3,21.5
Northeast,Level 4,22.2
Northeast,Level 5,8.7
