school,region,g_lat,g_lon,spg_grade,spg_score
Montlieu Academy of Technology,Piedmont Triad,35.9769,-79.9857,D,47.0
Mount Gilead Elementary,Sandhills,35.2128,-80.0042,D,52.0
Topsail Middle,Southeast,34.39763,-77.67725,B,70.0
Northeast Guilford High,Piedmont Triad,36.1586,-79.673,D,50.0
Clear Creek Elementary,Western,35.3739,-82.4419,C,60.0
Mars Hill Elementary,Western,35.8345,-82.5526,C,64.0
GE Massey Elementary,Southwest,35.4783,-81.23728,C,69.0
Langdon C Kerr Elementary,Sandhills,35.01437,-78.31998,C,57.0
S Ray Lowder Elementary,Southwest,35.4631,-81.2455,C,61.0
Hertford Grammar,Northeast,36.189,-76.4779,C,69.0
Coulwood STEM Academy,Southwest,35.3039,-80.9447,C,64.0
Benhaven Elementary,North Central,35.33523,-79.08297,C,68.0
Red Oak Elementary,North Central,36.0395,-77.9042,C,59.0
Trinity Middle School,Piedmont Triad,35.89235,-80.0061,D,47.0
Fike High,North Central,35.753,-77.922,C,61.0
Waynesville Middle,Western,35.4859,-82.9979,C,56.0
Jeffreys Grove Elementary,North Central,35.868,-78.6814,A,86.0
Denton Elementary,Piedmont Triad,35.6321,-80.1187,C,57.0
Irving Park Elementary,Piedmont Triad,36.0967,-79.8134,C,57.0
Johnston Co Early College Academy,North Central,35.5011,-78.3331,A,95.0
Blythe Elementary,Southwest,35.3764,-80.8353,C,55.0
Wilson Academy of Applied Technology,North Central,35.66022,-77.87583,A,87.0
Forbush Middle,Piedmont Triad,36.1411,-80.5562,C,59.0
Salem Elementary,North Central,35.7562,-78.8506,B,74.0
Wallburg Elementary,Piedmont Triad,36.0087,-80.1412,B,77.0
Heide Trask High,Southeast,34.4378,-77.8925,C,60.0
Glenn Elementary,North Central,36.0289,-78.8381,C,57.0
Albemarle Middle,Southwest,35.3537,-80.1684,F,33.0
Heritage Elementary,North Central,35.9465,-78.5118,B,76.0
North Kannapolis Elementary,Southwest,35.5082,-80.6191,C,57.0
Startown Elementary,Northwest,35.6391,-81.2699,C,64.0
Jordan Matthews High,North Central,35.7233,-79.4514,C,55.0
Snow Hill Primary,Southeast,35.4505,-77.6638,D,49.0
Western Guilford Middle,Piedmont Triad,36.0823,-79.89589,D,46.0
Southern Lee High School,North Central,35.4349,-79.1855,C,56.0
Moore Square Middle,North Central,35.7761,-78.6346,B,76.0
Providence Grove High School,Piedmont Triad,35.8502,-79.7136,C,65.0
The Virtual Academy at Randolph,Piedmont Triad,35.67577,-79.82336,D,43.0
West Forsyth High,Piedmont Triad,36.0627,-80.3879,B,79.0
Coats-Erwin Middle,North Central,35.3733,-78.6605,F,39.0
McGee's Crossroads Elem,North Central,35.51331,-78.57731,C,68.0
CITI High School,North Central,35.94122,-77.80762,B,73.0
Murrayville Elementary,Southeast,34.2984,-77.8511,B,71.0
Bogue Sound Elementary,Southeast,34.7187,-76.9508,B,72.0
A L Brown High,Southwest,35.49628,-80.61884,D,51.0
Bennett School,North Central,35.5621,-79.5461,B,73.0
T Wingate Andrews High,Piedmont Triad,35.9851,-79.99001,C,59.0
Wake Forest High School,North Central,35.98437,-78.51512,B,78.0
Hanes Magnet School,Piedmont Triad,36.06439,-80.20609,C,62.0
Franklinton Middle,North Central,36.1043,-78.4574,D,48.0
McDowell Virtual Academy,Northwest,35.7003,-82.0403,D,41.0
Gov's Village STEM (Lower),Southwest,35.2987,-80.7748,D,46.0
Snow Creek Elementary,Northwest,35.7809,-81.2678,C,67.0
North Pitt High,Northeast,35.74749,-77.36285,C,64.0
Richland Creek Elementary,North Central,36.00599,-78.51678,C,69.0
Unionville Elementary,Southwest,35.0855,-80.5092,B,75.0
Alamance Elementary,Piedmont Triad,36.0177,-79.7086,C,68.0
Polk Central Elementary School,Western,35.28812,-82.12784,B,74.0
Pine Hollow Middle,North Central,35.908,-78.73302,B,79.0
Wakefield High,North Central,35.9473,-78.5704,B,76.0
Mount Pleasant High,Southwest,35.4076,-80.4821,C,66.0
Lucile Souders Elementary,Sandhills,35.0997,-78.8814,D,45.0
Oak View Elementary,Piedmont Triad,36.0005,-80.0158,D,40.0
Mattamuskeet School,Northeast,35.4409,-76.2171,D,41.0
East Rowan High,Southwest,35.5935,-80.4231,C,64.0
Baucom Elementary,North Central,35.737,-78.8543,B,82.0
Dillard Drive Middle,North Central,35.7527,-78.7244,D,49.0
GW Carver Elementary,Southwest,35.49334,-80.61748,D,45.0
Polk County Middle School,Western,35.298,-82.1728,C,68.0
Olds Elementary,North Central,35.7937,-78.675,C,68.0
Weatherstone Elementary,North Central,35.7924,-78.8115,B,75.0
Weldon Middle,Northeast,36.3685,-77.591,D,40.0
Hyde Academy,Northeast,35.4414,-76.2182,D,54.0
Celeste Henkel Elementary,Southwest,35.7554,-80.9753,C,59.0
Innovation Early College High,Northeast,35.60472,-77.36208,A,95.0
Brentwood Elementary,North Central,35.83,-78.5967,D,50.0
Yadkin Valley Regional Career Academy,Piedmont Triad,35.8171,-80.1887,B,72.0
Kearns Academy,Piedmont Triad,35.98198,-79.99083,B,72.0
Riverbend Elementary,Western,35.584,-82.9457,A,91.0
River Road Middle,Northeast,36.2757,-76.1978,D,53.0
Penderlea Elementary,Southeast,34.65483,-78.04644,D,50.0
West Cabarrus High,Southwest,35.40196,-80.64718,C,60.0
Old Fort Elementary School,Northwest,35.6258,-82.1791,B,71.0
Plain View Elementary,Sandhills,35.23651,-78.53912,B,71.0
Thanksgiving Elementary,North Central,35.6594,-78.32415,B,71.0
Banks Elementary,Southeast,35.2816,-77.6795,C,55.0
Bain Elementary,Southwest,35.17498,-80.64843,B,83.0
Durant Road Elementary,North Central,35.9003,-78.5804,D,50.0
Royal Oaks Elementary,Southwest,35.4664,-80.613,C,65.0
Shuford Elementary,Northwest,35.7203,-81.2001,C,66.0
Eastover-Central Elementary,Sandhills,35.1228,-78.7618,B,70.0
Cuthbertson High,Southwest,34.9758,-80.739,A,90.0
East Iredell Elementary,Southwest,35.804,-80.8363,D,42.0
Saint Pauls Middle,Sandhills,34.81167,-78.97659,F,32.0
Harris Elementary School,Western,35.27364,-81.89823,B,76.0
River Bend Elementary,North Central,35.86466,-78.53593,C,56.0
Old Dock Elementary,Sandhills,34.16454,-78.59551,B,73.0
Gates County Senior High,Northeast,36.44584,-76.70592,C,68.0
West Oxford Elementary,North Central,36.32227,-78.61259,F,37.0
Martins Creek Elementary/Mid,Western,35.0195,-84.0186,C,69.0
Mangum Elementary,North Central,36.1698,-78.8765,B,75.0
Lockhart Elementary,North Central,35.8032,-78.4855,D,49.0
Cabarrus-Kannapolis Early Coll,Southwest,35.4376,-80.6597,A,93.0
