school,region,locale,spg_score,pct_eds
Montlieu Academy of Technology,Piedmont Triad,City,47.0,69.8
Mount Gilead Elementary,Sandhills,Rural,52.0,89.4
Topsail Middle,Southeast,Rural,70.0,20.2
Northeast Guilford High,Piedmont Triad,City,50.0,60.3
Clear Creek Elementary,Western,Suburb,60.0,68.9
Mars Hill Elementary,Western,Rural,64.0,54.7
GE Massey Elementary,Southwest,Rural,69.0,77.6
Langdon C Kerr Elementary,Sandhills,Town,57.0,65.3
S Ray Lowder Elementary,Southwest,Rural,61.0,68.7
Hertford Grammar,Northeast,Rural,69.0,66.0
Coulwood STEM Academy,Southwest,City,64.0,59.3
Benhaven Elementary,North Central,Rural,68.0,46.7
Red Oak Elementary,North Central,Rural,59.0,57.9
Trinity Middle School,Piedmont Triad,Rural,47.0,62.7
Fike High,North Central,Rural,61.0,59.6
Waynesville Middle,Western,Suburb,56.0,60.8
Jeffreys Grove Elementary,North Central,City,86.0,24.3
Denton Elementary,Piedmont Triad,Rural,57.0,66.8
Irving Park Elementary,Piedmont Triad,City,57.0,59.6
Johnston Co Early College Academy,North Central,Rural,95.0,29.6
Blythe Elementary,Southwest,City,55.0,61.1
Wilson Academy of Applied Technology,North Central,Rural,87.0,58.8
Forbush Middle,Piedmont Triad,Rural,59.0,59.0
Salem Elementary,North Central,City,74.0,23.4
Wallburg Elementary,Piedmont Triad,Rural,77.0,43.1
Heide Trask High,Southeast,Rural,60.0,70.5
Glenn Elementary,North Central,City,57.0,55.6
Albemarle Middle,Southwest,Rural,33.0,67.6
Heritage Elementary,North Central,City,76.0,29.2
North Kannapolis Elementary,Southwest,Suburb,57.0,63.9
Startown Elementary,Northwest,Rural,64.0,57.0
Jordan Matthews High,North Central,Rural,55.0,77.8
Snow Hill Primary,Southeast,Rural,49.0,73.6
Western Guilford Middle,Piedmont Triad,City,46.0,64.1
Southern Lee High School,North Central,Town,56.0,62.3
Moore Square Middle,North Central,City,76.0,23.7
Providence Grove High School,Piedmont Triad,Rural,65.0,51.1
The Virtual Academy at Randolph,Piedmont Triad,Rural,43.0,6.3
West Forsyth High,Piedmont Triad,City,79.0,37.0
Coats-Erwin Middle,North Central,Rural,39.0,70.1
McGee's Crossroads Elem,North Central,Rural,68.0,54.7
CITI High School,North Central,Rural,73.0,75.9
Murrayville Elementary,Southeast,City,71.0,48.2
Bogue Sound Elementary,Southeast,Rural,72.0,38.5
A L Brown High,Southwest,Suburb,51.0,52.1
Bennett School,North Central,Rural,73.0,52.2
T Wingate Andrews High,Piedmont Triad,City,59.0,66.8
Wake Forest High School,North Central,City,78.0,25.9
