year,outcome,students
2016,Graduated in 4 years,97691
2017,Graduated in 4 years,100106
2018,Graduated in 4 years,103628
2019,Graduated in 4 years,105481
2020,Graduated in 4 years,105645
2021,Graduated in 4 years,104772
2022,Graduated in 4 years,98048
2023,Graduated in 4 years,104511
2024,Graduated in 4 years,106584
2025,Graduated in 4 years,111474
2016,Did not graduate in 4 years,16035
2017,Did not graduate in 4 years,15624
2018,Did not graduate in 4 years,16451
2019,Did not graduate in 4 years,16462
2020,Did not graduate in 4 years,14954
2021,Did not graduate in 4 years,15656
2022,Did not graduate in 4 years,15433
2023,Did not graduate in 4 years,16311
2024,Did not graduate in 4 years,15926
2025,Did not graduate in 4 years,15489
