subject,year,proficiency_glp
English II,2021,58.5
English II,2022,57.9
English II,2023,58.3
English II,2024,59.5
English II,2025,59.4
Math (3-8),2021,40.0
Math (3-8),2022,49.8
Math (3-8),2023,53.0
Math (3-8),2024,54.6
Math (3-8),2025,56.7
Math 1,2021,25.1
Math 1,2022,33.1
Math 1,2023,36.0
Math 1,2024,37.0
Math 1,2025,34.5
Math 3,2021,44.6
Math 3,2022,53.4
Math 3,2023,58.3
Math 3,2024,57.6
Math 3,2025,66.4
Reading (3-8),2021,45.5
Reading (3-8),2022,48.4
Reading (3-8),2023,50.2
Reading (3-8),2024,50.1
Reading (3-8),2025,52.5
